SECCION,TIPO DE SECCION,TIPO DE COLONIA,NOMBRE DE LA COLONIA,CP,DISTRITO_FEDERAL,DISTRITO_LOCAL,MUNICIPIO,NOMBRE_MUNICIPIO
6307,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC II BOSQUES SECC VII,55764,20,22,82,TECAMAC
6308,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC II BOSQUES SECC VI,55764,20,22,82,TECAMAC
6309,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC II BOSQUES SECC VI,55764,20,22,82,TECAMAC
6310,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC II BOSQUES SECC VI,55764,20,22,82,TECAMAC
6311,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC II BOSQUES SECC II,55764,20,22,82,TECAMAC
6311,URBANO(A),COLONIA,LOS HEROES TECAMAC II BOSQUES SECC III,55764,20,22,82,TECAMAC
6312,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC II BOSQUES SECC II,55764,20,22,82,TECAMAC
6313,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC II BOSQUES SECC VI,55764,20,22,82,TECAMAC
6314,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC II BOSQUES SECC I,55764,20,22,82,TECAMAC
6315,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC II BOSQUES SECC I,55764,20,22,82,TECAMAC
6316,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC II BOSQUES SECC I,55764,20,22,82,TECAMAC
6317,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC II BOSQUES SECC I,55764,20,22,82,TECAMAC
6318,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC II BOSQUES SECC I,55764,20,22,82,TECAMAC
6319,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC II BOSQUES SECC I,55764,20,22,82,TECAMAC
6320,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6321,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6322,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6323,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6324,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6325,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6326,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6327,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6328,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6329,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6330,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6331,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6332,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6333,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6334,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6335,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6336,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6337,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6338,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6339,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6340,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6341,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6342,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6343,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6344,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6345,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6346,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6347,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6348,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6349,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6350,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6351,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6546,URBANO(A),CONJUNTO HABITACIONAL,VILLAS II,55770,20,22,82,TECAMAC
6547,URBANO(A),CONJUNTO HABITACIONAL,REAL VIZCAYA,55770,20,22,82,TECAMAC
6547,URBANO(A),CONJUNTO HABITACIONAL,VALLE SAN PEDRO,55767,20,22,82,TECAMAC
6548,URBANO(A),CONJUNTO HABITACIONAL,LAS TORRES,55770,20,22,82,TECAMAC
6548,URBANO(A),FRACCIONAMIENTO,OJO DE AGUA,55770,20,22,82,TECAMAC
6548,URBANO(A),CONJUNTO HABITACIONAL,REAL DEL SOL,55767,20,22,82,TECAMAC
6548,URBANO(A),FRACCIONAMIENTO,REAL FIRENZE,55767,20,22,82,TECAMAC
6548,URBANO(A),CONJUNTO HABITACIONAL,REAL TOSCANA,55767,20,22,82,TECAMAC
6548,URBANO(A),CONJUNTO HABITACIONAL,REAL VIZCAYA,55770,20,22,82,TECAMAC
6549,URBANO(A),FRACCIONAMIENTO,OJO DE AGUA,55770,20,22,82,TECAMAC
6549,URBANO(A),CONJUNTO HABITACIONAL,REAL TOSCANA,55767,20,22,82,TECAMAC
6549,URBANO(A),CONJUNTO HABITACIONAL,REAL VIZCAYA,55770,20,22,82,TECAMAC
