SECCION,TIPO DE SECCION,TIPO DE COLONIA,NOMBRE DE LA COLONIA,CP,DISTRITO_FEDERAL,DISTRITO_LOCAL,MUNICIPIO,NOMBRE_MUNICIPIO
6857,URBANO(A),COLONIA,BOSQUES DE LAS LOMAS 1RA SECC - LOMAS DE TECMAC,55770,5,33,82,TECAMAC
6857,URBANO(A),COLONIA,EL FRIJOLITO,55765,5,33,82,TECAMAC
6857,URBANO(A),FRACCIONAMIENTO,HEROES SAN PABLO,55765,5,33,82,TECAMAC
6857,URBANO(A),COLONIA,NUEVA TLALNEPANTLA,55765,5,33,82,TECAMAC
6857,URBANO(A),COLONIA,PARAISO,55770,5,33,82,TECAMAC
6857,URBANO(A),COLONIA,SAN PABLO,55747,5,33,82,TECAMAC
6857,URBANO(A),FRACCIONAMIENTO,TEZONTLA,55768,5,33,82,TECAMAC
6858,URBANO(A),COLONIA,GRANJAS VALLE DE GUADALUPE,55765,5,33,82,TECAMAC
6858,URBANO(A),COLONIA,JESUS ROMERO FLORES,55765,5,33,82,TECAMAC
6858,URBANO(A),COLONIA,MEXICO INDEPENDIENTE,55765,5,33,82,TECAMAC
6858,URBANO(A),COLONIA,NUEVA TLALNEPANTLA,55765,5,33,82,TECAMAC
6859,URBANO(A),COLONIA,10 DE JUNIO,55765,5,33,82,TECAMAC
6859,URBANO(A),COLONIA,21 DE AGOSTO,55765,5,33,82,TECAMAC
6859,URBANO(A),COLONIA,LA ESMERALDA,55765,5,33,82,TECAMAC
6859,URBANO(A),COLONIA,LOMAS DE TECAMAC,55765,5,33,82,TECAMAC
6859,URBANO(A),FRACCIONAMIENTO,SOTO Y GAMA,55765,5,33,82,TECAMAC
6860,URBANO(A),COLONIA,LA ESMERALDA,55765,5,33,82,TECAMAC
6861,URBANO(A),COLONIA,21 DE AGOSTO,55765,5,33,82,TECAMAC
6861,URBANO(A),COLONIA,LOMAS DE TECAMAC,55765,5,33,82,TECAMAC
6861,URBANO(A),COLONIA,NUEVA TLALNEPANTLA,55765,5,33,82,TECAMAC
6862,URBANO(A),COLONIA,NUEVA TLALNEPANTLA,55765,5,33,82,TECAMAC
6863,URBANO(A),FRACCIONAMIENTO,HEROES SAN PABLO,55765,5,33,82,TECAMAC
6864,URBANO(A),FRACCIONAMIENTO,HEROES SAN PABLO,55765,5,33,82,TECAMAC
6865,URBANO(A),COLONIA,AMPL MARGARITO F AYALA,55770,5,33,82,TECAMAC
6865,URBANO(A),COLONIA,CIUDAD CUAUHTEMOC,55067,5,33,82,TECAMAC
6865,URBANO(A),COLONIA,LA ESMERALDA,55765,5,33,82,TECAMAC
6865,URBANO(A),COLONIA,LOMAS DE TECAMAC,55765,5,33,82,TECAMAC
6866,URBANO(A),FRACCIONAMIENTO,HEROES SAN PABLO,55765,5,33,82,TECAMAC
6866,URBANO(A),COLONIA,LOMAS DE TECAMAC,55765,5,33,82,TECAMAC
6867,URBANO(A),COLONIA,AMPL MARGARITO F AYALA,55770,5,33,82,TECAMAC
6867,URBANO(A),COLONIA,LA ESMERALDA,55765,5,33,82,TECAMAC
7011,URBANO(A),UNIDAD HABITACIONAL,SIERRA HERMOSA,55749,5,33,82,TECAMAC
7012,URBANO(A),UNIDAD HABITACIONAL,SIERRA HERMOSA,55749,5,33,82,TECAMAC
7013,URBANO(A),UNIDAD HABITACIONAL,SIERRA HERMOSA,55749,5,33,82,TECAMAC
7014,URBANO(A),UNIDAD HABITACIONAL,SIERRA HERMOSA,55749,5,33,82,TECAMAC
7015,URBANO(A),COLONIA,5 DE MAYO,55749,5,33,82,TECAMAC
7015,URBANO(A),UNIDAD HABITACIONAL,SIERRA HERMOSA,55749,5,33,82,TECAMAC
7016,URBANO(A),UNIDAD HABITACIONAL,SIERRA HERMOSA,55749,5,33,82,TECAMAC
7017,URBANO(A),UNIDAD HABITACIONAL,SIERRA HERMOSA,55749,5,33,82,TECAMAC
7018,URBANO(A),COLONIA,JOSE REVUELTAS CAMBIO 2000,55760,5,33,82,TECAMAC
7018,URBANO(A),COLONIA,SAN ANTONIO,55760,5,33,82,TECAMAC
7018,URBANO(A),CONJUNTO HABITACIONAL,VILLA DEL REAL 3RA SECC,55749,5,33,82,TECAMAC
7019,URBANO(A),CONJUNTO HABITACIONAL,VILLA DEL REAL 3RA SECC,55749,5,33,82,TECAMAC
7020,URBANO(A),COLONIA,CUAUHTEMOC,55768,5,33,82,TECAMAC
7020,URBANO(A),FRACCIONAMIENTO,JARDINES DE TECAMAC,55749,5,33,82,TECAMAC
7020,URBANO(A),COLONIA,SAN ANTONIO,55760,5,33,82,TECAMAC
7020,URBANO(A),COLONIA,TEXCALTITLA,55760,5,33,82,TECAMAC
7020,URBANO(A),CONJUNTO HABITACIONAL,VILLA DEL REAL 3RA SECC,55749,5,33,82,TECAMAC
7020,URBANO(A),CONJUNTO HABITACIONAL,VILLA DEL REAL 4TA SECC,55749,5,33,82,TECAMAC
